time, util
0, 0.998511
1, 0.981228
2, 0.979005
3, 0.977981
4, 0.97566
5, 0.975446
6, 0.974043
7, 0.974707
8, 0.974063
9, 0.973186
10, 0.972983
11, 0.973152
12, 0.972606
13, 0.972664
14, 0.972877
15, 0.972787
16, 0.972727
17, 0.972462
18, 0.972414
19, 0.972055
20, 0.972296
21, 0.971955
22, 0.972216
23, 0.971896
24, 0.971932
25, 0.971942
26, 0.971935
27, 0.971981
28, 0.971974
29, 0.97174
30, 0.972023
31, 0.971648
32, 0.971897
33, 0.971852
34, 0.971785
35, 0.971898
36, 0.97166
37, 0.971754
38, 0.971754
39, 0.971754
40, 0.971754
41, 0.971754
42, 0.971754
43, 0.971754
44, 0.971754
45, 0.971754
46, 0.971754
47, 0.21824
48, 0.219653
49, 0.220791
50, 0.221916
51, 0.223091
52, 0.22403
53, 0.225239
54, 0.226634
55, 0.227767
56, 0.228844
57, 0.230275
58, 0.231576
59, 0.232929
60, 0.234212
61, 0.235144
62, 0.236351
63, 0.237537
64, 0.238936
65, 0.240048
66, 0.241516
67, 0.242816
68, 0.24418
69, 0.245322
70, 0.246514
71, 0.247893
72, 0.249368
73, 0.250705
74, 0.251862
75, 0.25348
76, 0.25471
77, 0.256253
78, 0.257457
79, 0.258461
80, 0.25959
81, 0.261009
82, 0.262332
83, 0.26355
84, 0.264739
85, 0.265884
86, 0.267325
87, 0.268742
88, 0.270049
89, 0.27135
90, 0.272619
91, 0.273976
92, 0.275359
93, 0.276511
94, 0.27797
95, 0.279758
96, 0.280882
97, 0.282304
98, 0.283683
99, 0.284837
100, 0.286419
101, 0.287522
102, 0.288546
103, 0.289843
104, 0.291031
105, 0.292419
106, 0.293662
107, 0.294911
108, 0.296253
109, 0.297448
110, 0.298968
111, 0.300367
112, 0.301622
113, 0.302981
114, 0.304582
115, 0.305797
116, 0.307679
117, 0.309027
118, 0.310265
119, 0.31164
120, 0.313457
121, 0.315088
122, 0.31666
123, 0.318282
124, 0.319777
125, 0.321193
126, 0.322488
127, 0.323882
128, 0.3254
129, 0.326936
130, 0.328235
131, 0.329656
132, 0.331099
133, 0.332717
134, 0.333977
135, 0.335382
136, 0.336762
137, 0.338144
138, 0.339579
139, 0.340957
140, 0.342606
141, 0.344032
142, 0.345456
143, 0.34704
144, 0.348354
145, 0.350154
146, 0.351844
147, 0.352989
148, 0.354363
149, 0.35584
150, 0.357273
151, 0.358836
152, 0.36039
153, 0.361872
154, 0.363515
155, 0.365405
156, 0.366737
157, 0.368074
158, 0.369573
159, 0.371192
160, 0.372733
161, 0.374619
162, 0.376101
163, 0.377633
164, 0.379232
165, 0.381033
166, 0.382752
167, 0.384228
168, 0.38546
169, 0.386899
170, 0.38866
171, 0.390268
172, 0.392034
173, 0.393873
174, 0.395356
175, 0.396931
176, 0.398722
177, 0.400452
178, 0.401979
179, 0.40376
180, 0.405633
181, 0.407105
182, 0.408889
183, 0.410505
184, 0.412601
185, 0.414329
186, 0.416001
187, 0.418136
188, 0.419303
189, 0.42072
190, 0.4225
191, 0.42456
192, 0.426774
193, 0.428203
194, 0.430082
195, 0.431747
196, 0.43374
197, 0.435834
198, 0.437563
199, 0.439381
200, 0.441253
201, 0.443213
202, 0.444878
203, 0.446964
204, 0.448822
205, 0.450521
206, 0.452501
207, 0.454314
208, 0.45619
209, 0.458014
210, 0.460074
211, 0.46186
212, 0.4641
213, 0.465732
214, 0.467393
215, 0.469101
216, 0.47064
217, 0.472807
218, 0.474606
219, 0.476652
220, 0.478642
221, 0.480484
222, 0.482534
223, 0.484807
224, 0.486916
225, 0.489165
226, 0.491126
227, 0.49309
228, 0.495177
229, 0.49728
230, 0.499077
231, 0.501019
232, 0.503048
233, 0.505162
234, 0.507142
235, 0.509071
236, 0.511275
237, 0.513404
238, 0.515201
239, 0.517131
240, 0.519259
241, 0.52141
242, 0.523226
243, 0.525394
244, 0.527285
245, 0.529675
246, 0.53206
247, 0.534286
248, 0.536312
249, 0.538938
250, 0.541491
251, 0.543777
252, 0.545911
253, 0.548165
254, 0.550498
255, 0.552979
256, 0.555339
257, 0.557618
258, 0.559911
259, 0.562464
260, 0.564997
261, 0.567029
262, 0.569727
263, 0.572409
264, 0.574678
265, 0.577172
266, 0.579598
267, 0.581608
268, 0.58409
269, 0.586936
270, 0.589843
271, 0.59235
272, 0.595278
273, 0.598083
274, 0.600933
275, 0.603343
276, 0.60566
277, 0.60803
278, 0.610643
279, 0.61363
280, 0.616436
281, 0.619223
282, 0.621863
283, 0.624376
284, 0.627073
285, 0.629669
286, 0.632572
287, 0.635597
288, 0.638055
289, 0.640849
