time, util
0, 0.991613
1, 0.979757
2, 0.9771
3, 0.976168
4, 0.976468
5, 0.974601
6, 0.975377
7, 0.973782
8, 0.974366
9, 0.973885
10, 0.973649
11, 0.973184
12, 0.973409
13, 0.973239
14, 0.97284
15, 0.972686
16, 0.972692
17, 0.97274
18, 0.972379
19, 0.972509
20, 0.972274
21, 0.971952
22, 0.971902
23, 0.971971
24, 0.972
25, 0.97207
26, 0.971919
27, 0.971884
28, 0.97177
29, 0.971884
30, 0.971922
31, 0.971746
32, 0.971652
33, 0.971734
34, 0.971771
35, 0.971668
36, 0.971844
37, 0.971754
38, 0.971754
39, 0.971754
40, 0.971754
41, 0.971754
42, 0.971754
43, 0.971754
44, 0.971754
45, 0.971754
46, 0.971754
47, 0.971754
48, 0.228609
49, 0.254551
50, 0.279803
51, 0.304718
52, 0.32875
53, 0.353316
54, 0.375641
55, 0.398871
56, 0.421917
57, 0.443705
58, 0.465995
59, 0.486771
60, 0.508119
61, 0.528235
62, 0.548089
63, 0.566965
64, 0.585642
65, 0.603186
66, 0.620238
67, 0.637583
68, 0.654319
69, 0.668584
70, 0.683245
71, 0.697181
72, 0.709643
73, 0.722552
74, 0.735793
75, 0.748499
76, 0.760765
77, 0.77085
78, 0.783223
79, 0.79358
80, 0.80552
81, 0.8166
82, 0.827629
83, 0.83835
84, 0.848585
85, 0.86023
86, 0.869573
87, 0.878795
88, 0.888359
89, 0.897791
90, 0.907769
91, 0.916374
92, 0.925107
93, 0.934531
94, 0.942726
95, 0.950517
96, 0.953204
97, 0.953665
98, 0.953877
99, 0.953877
100, 0.953877
101, 0.953877
102, 0.953877
103, 0.953877
104, 0.953877
105, 0.953877
106, 0.953877
107, 0.953877
108, 0.330916
109, 0.236281
110, 0.261384
111, 0.285106
112, 0.309567
113, 0.33317
114, 0.355423
115, 0.378631
116, 0.399103
117, 0.420771
118, 0.443061
119, 0.46361
120, 0.483773
121, 0.503674
122, 0.521801
123, 0.538788
124, 0.555954
125, 0.57159
126, 0.587268
127, 0.602492
128, 0.616285
129, 0.629658
130, 0.642931
131, 0.655044
132, 0.667373
133, 0.679843
134, 0.691319
135, 0.703526
136, 0.714192
137, 0.724458
138, 0.735918
139, 0.746611
140, 0.756114
141, 0.766458
142, 0.777028
143, 0.787184
144, 0.797526
145, 0.807089
146, 0.81568
147, 0.825858
148, 0.834601
149, 0.843316
150, 0.852389
151, 0.860903
152, 0.869992
153, 0.87791
154, 0.885729
155, 0.894392
156, 0.90276
157, 0.91214
158, 0.920784
159, 0.928881
160, 0.937199
161, 0.944638
162, 0.948808
163, 0.948808
164, 0.948808
165, 0.948808
166, 0.948808
167, 0.948808
168, 0.948808
169, 0.948808
170, 0.948808
171, 0.948808
172, 0.948808
173, 0.230798
174, 0.25598
175, 0.279782
176, 0.303519
177, 0.327213
178, 0.348834
179, 0.37032
180, 0.392449
181, 0.412851
182, 0.433927
183, 0.453969
184, 0.47207
185, 0.490148
186, 0.502434
187, 0.51733
188, 0.534667
189, 0.55154
190, 0.567383
191, 0.582461
192, 0.597114
193, 0.611207
194, 0.624036
195, 0.637135
196, 0.650796
197, 0.663625
198, 0.675418
199, 0.686545
200, 0.69758
201, 0.707944
202, 0.718506
203, 0.729188
204, 0.737544
205, 0.747085
206, 0.758551
207, 0.76834
208, 0.777678
209, 0.787751
210, 0.796729
211, 0.805188
212, 0.814185
213, 0.823975
214, 0.831855
215, 0.841276
216, 0.850489
217, 0.858923
218, 0.86748
219, 0.876292
220, 0.884796
221, 0.894054
222, 0.903255
223, 0.912745
224, 0.922524
225, 0.930745
226, 0.939897
227, 0.945627
228, 0.945627
229, 0.945627
230, 0.945627
231, 0.945627
232, 0.945627
233, 0.945627
234, 0.945627
235, 0.945627
236, 0.945627
237, 0.945627
238, 0.23032
239, 0.254897
240, 0.279228
241, 0.301428
242, 0.325238
243, 0.34868
244, 0.371027
245, 0.393707
246, 0.415414
247, 0.43713
248, 0.458022
249, 0.477294
250, 0.497456
251, 0.515289
252, 0.532917
253, 0.549235
254, 0.56507
255, 0.581109
256, 0.596586
257, 0.611314
258, 0.623835
259, 0.636794
260, 0.650802
261, 0.663005
262, 0.674641
263, 0.685575
264, 0.696722
265, 0.70812
266, 0.719375
267, 0.72984
268, 0.740378
269, 0.748706
270, 0.758421
271, 0.768055
272, 0.777431
273, 0.787121
274, 0.79718
275, 0.80583
276, 0.814539
277, 0.822771
278, 0.831849
279, 0.840724
280, 0.85
281, 0.858994
282, 0.867776
283, 0.87557
284, 0.884817
285, 0.893078
286, 0.900548
287, 0.908493
288, 0.917702
289, 0.927002
290, 0.934632
291, 0.942801
292, 0.942801
293, 0.942801
294, 0.942801
295, 0.942801
296, 0.942801
297, 0.942801
298, 0.942801
299, 0.942801
300, 0.942801
301, 0.942801
302, 0.942801
303, 0.226871
304, 0.252707
305, 0.27688
306, 0.30179
307, 0.324896
308, 0.347787
309, 0.37133
310, 0.393504
311, 0.415386
312, 0.437808
313, 0.457666
314, 0.478642
315, 0.498453
316, 0.516777
317, 0.534956
318, 0.55246
319, 0.569494
320, 0.585328
321, 0.60059
322, 0.615333
323, 0.629249
324, 0.64363
325, 0.656598
326, 0.669643
327, 0.681403
328, 0.692047
329, 0.703102
330, 0.713488
331, 0.723664
332, 0.733985
333, 0.744186
334, 0.755117
335, 0.765542
336, 0.775814
337, 0.785784
338, 0.795787
339, 0.804748
340, 0.814057
341, 0.824002
342, 0.833842
343, 0.842893
344, 0.851232
345, 0.858933
346, 0.866226
347, 0.874723
348, 0.88421
349, 0.892126
350, 0.900921
351, 0.908512
352, 0.925047
353, 0.932968
354, 0.940029
355, 0.944258
356, 0.944258
357, 0.944258
358, 0.944258
359, 0.944258
360, 0.944258
361, 0.944258
362, 0.944258
363, 0.944258
364, 0.944258
365, 0.944258
366, 0.227809
367, 0.253046
368, 0.278229
369, 0.301223
370, 0.324592
371, 0.347813
372, 0.369611
373, 0.391363
374, 0.413305
375, 0.434175
376, 0.453961
377, 0.47387
378, 0.492353
379, 0.51122
380, 0.52899
381, 0.545451
382, 0.559641
383, 0.573898
384, 0.587911
385, 0.602141
386, 0.615596
387, 0.629146
388, 0.641101
389, 0.653279
390, 0.664716
391, 0.676729
392, 0.688246
393, 0.700407
394, 0.711038
395, 0.721671
396, 0.732198
397, 0.74254
398, 0.752461
399, 0.761779
400, 0.771659
401, 0.781566
402, 0.79248
403, 0.802201
404, 0.811938
405, 0.821642
406, 0.830307
407, 0.840319
408, 0.848323
409, 0.856348
410, 0.865854
411, 0.874278
412, 0.88311
413, 0.890698
414, 0.899315
415, 0.907697
416, 0.915513
417, 0.924586
418, 0.932556
419, 0.941565
420, 0.941759
421, 0.941759
422, 0.941759
423, 0.941759
424, 0.941759
425, 0.941759
426, 0.941759
427, 0.941759
428, 0.941759
429, 0.941759
430, 0.22671
431, 0.25163
432, 0.276453
433, 0.299485
434, 0.323195
435, 0.346611
436, 0.369441
437, 0.391854
438, 0.413615
439, 0.432867
440, 0.452508
441, 0.471037
442, 0.489181
443, 0.507555
444, 0.525145
445, 0.54212
446, 0.557299
447, 0.571534
448, 0.586243
449, 0.599992
450, 0.612417
451, 0.625773
452, 0.637795
453, 0.649358
454, 0.66214
455, 0.674565
456, 0.687616
457, 0.698745
458, 0.710116
459, 0.720375
460, 0.731446
461, 0.742117
462, 0.752329
463, 0.763076
464, 0.772735
465, 0.782699
466, 0.791096
467, 0.802337
468, 0.810781
469, 0.818999
470, 0.8277
471, 0.836343
472, 0.844633
473, 0.852952
474, 0.862081
475, 0.871479
476, 0.880649
477, 0.890024
478, 0.898375
479, 0.906653
480, 0.915374
481, 0.922768
482, 0.930537
483, 0.939101
484, 0.945014
485, 0.945014
486, 0.945014
487, 0.945014
488, 0.945014
489, 0.945014
490, 0.945014
491, 0.945014
492, 0.945014
493, 0.945014
494, 0.451119
495, 0.234862
496, 0.260295
497, 0.284021
498, 0.308896
499, 0.330807
500, 0.352138
501, 0.375235
502, 0.397449
503, 0.419201
504, 0.440576
505, 0.460656
506, 0.480612
507, 0.499401
508, 0.516471
509, 0.532599
510, 0.548027
511, 0.56337
512, 0.578511
513, 0.590643
514, 0.604923
515, 0.617747
516, 0.630276
517, 0.642368
518, 0.654617
519, 0.666412
520, 0.677409
521, 0.688943
522, 0.699973
523, 0.710125
524, 0.720728
525, 0.731446
526, 0.742202
527, 0.751471
528, 0.761442
529, 0.77153
530, 0.781785
531, 0.789782
532, 0.798954
533, 0.807744
534, 0.816394
535, 0.826211
536, 0.835642
537, 0.844364
538, 0.852707
539, 0.861202
540, 0.868813
541, 0.87709
542, 0.885193
543, 0.894709
544, 0.903035
545, 0.911816
546, 0.92077
547, 0.928934
548, 0.936525
549, 0.939297
550, 0.939297
551, 0.939297
552, 0.939297
553, 0.939297
554, 0.939297
555, 0.939297
556, 0.939297
557, 0.939297
558, 0.939297
559, 0.939297
560, 0.227097
561, 0.251883
562, 0.276554
563, 0.300802
564, 0.324239
565, 0.347775
566, 0.370098
567, 0.392913
568, 0.41536
569, 0.436295
570, 0.457559
571, 0.477817
572, 0.49738
573, 0.517071
574, 0.535225
575, 0.552267
576, 0.568269
577, 0.583633
578, 0.597886
579, 0.611784
580, 0.625748
581, 0.638559
582, 0.651273
583, 0.664487
584, 0.676307
585, 0.68845
586, 0.698915
587, 0.710421
588, 0.721199
589, 0.731011
590, 0.741617
591, 0.752095
592, 0.762921
593, 0.773
594, 0.783554
595, 0.7927
596, 0.802657
597, 0.812144
598, 0.821905
599, 0.832683
600, 0.842669
601, 0.852089
602, 0.860399
603, 0.868358
604, 0.877627
605, 0.887737
606, 0.896697
607, 0.906141
608, 0.914813
609, 0.923243
610, 0.932204
611, 0.941817
612, 0.948791
613, 0.948791
614, 0.948791
615, 0.948791
616, 0.948791
617, 0.948791
618, 0.948791
619, 0.948791
620, 0.948791
621, 0.948791
622, 0.788964
623, 0.231298
624, 0.256616
625, 0.280986
626, 0.304808
627, 0.328139
628, 0.351005
629, 0.374019
630, 0.396425
631, 0.418677
632, 0.440077
633, 0.459701
634, 0.479948
635, 0.499336
636, 0.517994
637, 0.535921
638, 0.551918
639, 0.568506
640, 0.584252
641, 0.599602
642, 0.612349
643, 0.626264
644, 0.639649
645, 0.653378
646, 0.66565
647, 0.678004
648, 0.687695
649, 0.699796
650, 0.711241
651, 0.722953
652, 0.734329
653, 0.744784
654, 0.756158
655, 0.76716
656, 0.777239
657, 0.787387
658, 0.797706
659, 0.806836
660, 0.816956
661, 0.825466
662, 0.834615
663, 0.842607
664, 0.851666
665, 0.859772
666, 0.867357
667, 0.875529
668, 0.884083
669, 0.893168
670, 0.90259
671, 0.912018
672, 0.919991
673, 0.928685
674, 0.936527
675, 0.944698
676, 0.946831
677, 0.946831
678, 0.946831
679, 0.946831
680, 0.946831
681, 0.946831
682, 0.946831
683, 0.946831
684, 0.946831
685, 0.946831
686, 0.946831
687, 0.216242
688, 0.240912
689, 0.2657
690, 0.289822
691, 0.313946
692, 0.337538
693, 0.360286
694, 0.383113
695, 0.405487
696, 0.426752
697, 0.447495
698, 0.468344
699, 0.488424
700, 0.507302
701, 0.524961
702, 0.542315
703, 0.558204
704, 0.573376
705, 0.589108
706, 0.603177
707, 0.615734
708, 0.629341
709, 0.641084
710, 0.653272
711, 0.666524
712, 0.677997
713, 0.689493
714, 0.701175
