BEST FIT FIND
time	util
0	0.994374
1	0.251161
2	0.366262
3	0.530137
4	0.785488
5	0.261951
6	0.374732
7	0.537748
8	0.805921
9	0.270465
10	0.384273
11	0.53235
12	0.774001
13	0.247041
14	0.349678
15	0.494833
16	0.713416
17	0.23327
18	0.343335
19	0.482415
20	0.69861
21	0.23974
22	0.342817
23	0.486882
24	0.692631
25	0.233276
26	0.325835
27	0.464589
28	0.663569
29	0.223544
30	0.322898
31	0.457954
32	0.658547
33	0.228039
34	0.330529
35	0.474558
36	0.680789
37	0.236589
38	0.345264
39	0.479225
40	0.6786
41	0.230045
42	0.335596
43	0.476779
44	0.677083
45	0.234222
46	0.339268
47	0.482544
48	0.705177
49	0.241292
50	0.343474
51	0.487372
52	0.675896
53	0.224874
54	0.295262
55	0.403022
56	0.549007
57	0.82327
58	0.273602
59	0.389641
60	0.546989
61	0.842459
62	0.278301
63	0.401865
64	0.565754
65	0.877556
66	0.282719
67	0.399921
68	0.556457
69	0.818597
70	0.269459
71	0.382584
72	0.536363
73	0.783534
74	0.255038
75	0.361349
76	0.510712
77	0.747876
